latitude,longitude,tovr
4.46,8.94,36.6
-14.78,12.38,172.44
-14.22,12.4,38.7
-16.83,12.45,5.47
-14.9,12.5,30.59
-13.61,12.62,34.03
-13.38,12.74,1.55
-13.39,12.76,0.84
-14.71,12.77,43.1
-14.36,12.82,56.68
-14.89,12.83,20.96
-13.26,12.97,31.91
-14.21,13.0,18.49
-13.57,13.05,28.75
-12.83,13.06,23.19
-12.75,13.16,21.86
-12.82,13.18,17.78
-12.74,13.19,18.27
-12.74,13.22,115.26
-13.86,13.29,26.37
-12.7,13.32,25.47
-12.7,13.34,20.66
-12.65,13.36,37.99
-12.97,13.36,23.83
-12.94,13.36,41.17
-12.74,13.41,50.4
-12.54,13.47,115.96
-12.93,13.48,48.8
-13.0,13.5,6.55
-13.06,13.56,14.15
-12.67,13.61,95.82
-13.06,13.61,15.3
-13.08,13.67,2.19
-13.19,13.69,1.39
-12.26,13.73,39.59
-12.37,13.75,63.41
-13.13,13.76,8.41
-12.02,13.77,38.98
-11.98,13.77,37.52
-12.03,13.8,37.65
-12.05,13.81,8.41
-12.35,13.84,10.44
-12.32,13.84,31.06
-12.37,13.87,6.11
-12.14,13.88,5.3
-12.1,13.91,7.56
-12.06,13.94,43.26
-12.44,13.95,22.86
-12.04,13.95,8.03
-12.18,13.96,8.42
-24.66,15.98,74.64
-24.9,16.22,35.31
-6.33,12.41,11.89
-6.49,12.5,19.2
-6.46,12.55,17.35
-6.66,12.58,34.4
-6.37,12.68,20.42
-6.51,12.73,36.09
-6.49,12.77,45.91
-7.08,12.85,26.63
-6.98,12.91,22.42
-6.54,12.95,41.47
-6.23,12.96,32.35
-6.97,12.97,21.11
-7.45,12.98,23.48
-7.18,12.98,43.83
-6.15,12.99,50.17
-6.14,12.99,38.35
-6.63,12.99,101.07
-7.09,13.0,9.18
-6.05,13.0,60.91
-6.97,13.0,13.77
-7.53,13.01,6.07
-7.23,13.01,53.48
-6.5,13.02,38.27
-7.52,13.04,42.32
-7.65,13.06,16.62
-7.02,13.07,39.49
-7.73,13.09,11.86
-6.21,13.11,78.94
-6.99,13.11,34.08
-7.23,13.12,17.01
-6.98,13.12,20.49
-6.97,13.14,49.19
-6.24,13.14,28.97
-6.94,13.19,48.18
-6.93,13.21,45.91
-7.23,13.26,66.84
-7.41,13.27,17.5
-7.23,13.27,57.89
-7.22,13.3,43.2
-7.21,13.34,71.66
-7.7,13.34,12.11
-7.21,13.35,23.59
-7.65,13.37,19.02
-6.67,13.39,25.6
-7.58,13.46,7.84
-7.57,13.48,17.88
-6.76,13.51,57.92
-6.77,13.53,54.84
-6.49,13.54,78.54
-6.77,13.55,62.45
-6.98,13.55,19.69
-7.09,13.57,60.94
-6.74,13.59,43.61
-7.12,13.59,9.93
-7.16,13.6,20.33
-10.46,13.69,24.91
-10.41,13.7,231.32
-10.77,13.74,79.66
-7.11,13.74,18.57
-6.69,13.76,18.56
-10.41,13.76,81.37
-10.75,13.78,11.14
-10.54,13.79,28.63
-7.29,13.79,19.34
-11.61,13.8,14.33
-11.6,13.81,23.69
-11.52,13.81,36.95
-10.45,13.82,219.01
-10.85,13.83,58.26
-11.88,13.84,33.81
-11.26,13.84,60.56
-11.45,13.85,63.94
-11.15,13.85,87.29
-10.45,13.86,149.61
-11.34,13.87,51.92
-11.59,13.88,27.58
-11.62,13.89,10.02
-10.61,13.89,2.05
-11.54,13.89,61.62
-11.1,13.9,48.04
-13.01,13.91,9.29
-12.76,13.91,26.99
-11.14,13.91,65.17
-13.03,13.92,6.82
-11.13,13.92,43.79
-10.91,13.94,37.98
-7.2,13.95,28.24
-10.58,13.95,47.37
-12.97,13.96,8.64
-11.09,13.96,63.33
-10.44,13.99,44.71
-7.21,13.99,39.86
-12.51,14.0,13.14
-12.49,14.01,10.49
-13.04,14.01,22.91
-11.86,14.01,34.2
-11.98,14.03,33.96
-11.69,14.04,8.94
-11.81,14.04,14.12
-11.16,14.05,79.19
-11.35,14.06,40.79
-11.74,14.07,2.22
-7.22,14.09,47.82
-10.99,14.11,50.51
-12.19,14.11,24.09
-11.29,14.12,35.24
-12.31,14.12,7.25
-12.46,14.12,19.28
-12.18,14.12,8.44
-12.27,14.14,12.17
-12.49,14.14,12.97
-10.75,14.14,27.17
-10.57,14.15,39.67
-12.48,14.15,5.54
-10.34,14.15,26.66
-13.06,14.15,19.61
-10.96,14.15,20.94
-10.94,14.16,14.96
-11.82,14.17,18.61
-10.38,14.18,28.18
-11.6,14.18,49.87
-10.75,14.19,37.28
-12.92,14.19,12.38
-10.93,14.19,61.95
-12.97,14.19,19.99
-10.74,14.2,20.67
-12.37,14.21,4.41
-10.61,14.22,19.16
-10.75,14.22,7.95
-11.74,14.23,30.7
-10.85,14.24,23.59
-13.06,14.24,37.2
-13.03,14.24,26.33
-13.03,14.24,14.74
-10.56,14.25,14.48
-13.51,14.27,12.11
-10.55,14.27,54.63
-11.24,14.27,25.37
-12.55,14.28,35.83
-12.94,14.29,16.38
-12.89,14.3,13.74
-12.88,14.31,14.57
-13.01,14.31,12.38
-13.18,14.32,13.56
-7.32,14.33,71.83
-11.35,14.34,13.11
-10.87,14.35,62.06
-13.14,14.35,28.83
-11.11,14.35,25.75
-10.84,14.36,124.69
-7.57,14.36,44.55
-12.45,14.37,20.89
